0.742,0.572,0.720,0.556
0.733,0.575,0.642,0.515
0.769,0.586,0.763,0.562
0.787,0.640,0.786,0.542
0.701,0.500,0.588,0.502
0.738,0.565,0.689,0.532
0.805,0.603,0.794,0.569
0.733,0.558,0.743,0.552
0.760,0.623,0.739,0.535
0.769,0.582,0.685,0.478
0.706,0.384,0.560,0.340
0.697,0.435,0.630,0.401
0.629,0.586,0.564,0.455
0.729,0.771,0.852,0.754
0.769,0.592,0.755,0.465
0.733,0.545,0.700,0.525
0.710,0.822,0.790,0.758
0.710,0.596,0.693,0.593
0.719,0.377,0.584,0.360
0.593,0.449,0.529,0.434
0.665,0.558,0.689,0.542
0.792,0.568,0.767,0.556
0.787,0.596,0.743,0.596
0.801,0.596,0.778,0.582
0.751,0.777,0.712,0.680
0.688,0.298,0.533,0.293
0.629,0.298,0.486,0.310
0.557,0.301,0.436,0.242
0.434,0.432,0.479,0.374
0.462,0.534,0.502,0.532
0.543,0.493,0.572,0.444
0.647,0.510,0.595,0.444
0.588,0.455,0.502,0.418
0.611,0.507,0.521,0.495
0.557,0.476,0.521,0.401
0.615,0.432,0.591,0.387
0.570,0.476,0.537,0.424
0.624,0.507,0.529,0.505
0.629,0.699,0.646,0.582
0.801,0.486,0.661,0.481
0.747,0.565,0.673,0.562
0.805,0.579,0.743,0.542
0.724,0.586,0.755,0.559
0.697,0.562,0.599,0.475
0.697,0.531,0.638,0.535
0.692,0.606,0.611,0.519
0.774,0.558,0.728,0.532
0.765,0.551,0.739,0.508
0.778,0.545,0.767,0.529
0.778,0.545,0.634,0.498
0.756,0.517,0.665,0.492
0.701,0.476,0.630,0.455
0.710,0.538,0.665,0.532
0.787,0.545,0.677,0.535
0.778,0.476,0.646,0.465
0.683,0.414,0.603,0.401
0.674,0.483,0.576,0.468
0.679,0.541,0.560,0.519
0.683,0.524,0.646,0.522
0.769,0.846,0.759,0.616
0.597,0.442,0.521,0.428
0.534,0.548,0.615,0.498
0.747,0.555,0.661,0.535
0.697,0.579,0.720,0.407
0.507,0.658,0.560,0.626
0.647,0.469,0.510,0.458
0.661,0.545,0.556,0.492
0.692,0.668,0.661,0.562
0.729,0.438,0.626,0.438
0.738,0.555,0.615,0.539
0.679,0.582,0.712,0.549
0.683,0.349,0.549,0.350
0.489,0.438,0.521,0.428
0.575,0.452,0.588,0.404
0.511,0.408,0.436,0.418
0.466,0.435,0.533,0.387
0.665,0.623,0.615,0.545
0.661,0.589,0.626,0.545
0.679,0.675,0.665,0.468
0.602,0.390,0.502,0.360
0.615,0.435,0.603,0.441
0.606,0.507,0.626,0.519
0.706,0.545,0.603,0.387
0.452,0.449,0.440,0.444
0.538,0.582,0.533,0.566
0.439,0.545,0.409,0.519
0.439,0.438,0.459,0.377
0.462,0.445,0.412,0.411
0.557,0.418,0.482,0.407
0.557,0.425,0.506,0.394
0.579,0.466,0.471,0.424
0.611,0.555,0.529,0.542
0.584,0.250,0.444,0.253
0.575,0.288,0.440,0.215
0.475,0.486,0.514,0.492
0.489,0.452,0.514,0.310
0.457,0.387,0.518,0.343
0.416,0.363,0.451,0.337
0.466,0.360,0.463,0.343
0.439,0.366,0.393,0.360
0.480,0.377,0.420,0.316
0.443,0.404,0.467,0.350
0.443,0.360,0.482,0.377
0.430,0.366,0.447,0.330
0.452,0.428,0.463,0.411
0.575,0.685,0.580,0.613
0.674,0.411,0.556,0.337
0.665,0.579,0.661,0.508
0.588,0.370,0.494,0.303
0.389,0.188,0.323,0.205
0.430,0.205,0.319,0.121
0.412,0.212,0.366,0.209
0.421,0.414,0.377,0.407
0.452,0.459,0.412,0.434
0.425,0.486,0.409,0.387
0.348,0.185,0.276,0.175
0.339,0.315,0.335,0.327
0.240,0.315,0.284,0.306
0.253,0.247,0.284,0.219
0.407,0.315,0.362,0.316
0.412,0.342,0.389,0.296
0.525,0.387,0.584,0.269
0.629,0.315,0.479,0.330
0.557,0.346,0.451,0.357
0.439,0.541,0.479,0.539
0.380,0.318,0.335,0.316
0.294,0.295,0.327,0.296
0.276,0.318,0.276,0.320
0.290,0.318,0.304,0.327
0.285,0.325,0.339,0.330
0.471,0.349,0.393,0.340
0.326,0.370,0.370,0.367
0.371,0.192,0.280,0.182
0.131,0.260,0.179,0.249
0.235,0.284,0.292,0.229
0.362,0.312,0.327,0.290
0.276,0.301,0.245,0.249
0.294,0.260,0.276,0.242
0.398,0.336,0.397,0.333
0.507,0.469,0.416,0.357
0.430,0.346,0.381,0.276
0.362,0.205,0.331,0.199
0.235,0.250,0.198,0.232
0.149,0.295,0.132,0.266
0.199,0.267,0.183,0.242
0.158,0.250,0.144,0.232
0.244,0.339,0.249,0.320
0.303,0.318,0.268,0.313
0.389,0.257,0.412,0.259
0.276,0.226,0.249,0.202
0.294,0.113,0.210,0.118
0.231,0.144,0.261,0.128
0.050,0.168,0.109,0.155
0.050,0.229,0.082,0.155
0.109,0.250,0.086,0.219
0.176,0.205,0.136,0.195
0.231,0.318,0.202,0.323
0.195,0.373,0.160,0.347
0.262,0.384,0.315,0.387
0.389,0.373,0.405,0.367
0.353,0.099,0.241,0.108
0.303,0.151,0.257,0.165
0.344,0.264,0.265,0.276
0.367,0.274,0.276,0.269
0.204,0.281,0.175,0.256
0.267,0.178,0.241,0.182
0.357,0.212,0.381,0.162
0.439,0.202,0.362,0.182
0.290,0.195,0.265,0.162
0.208,0.096,0.125,0.051
0.149,0.168,0.121,0.104
0.158,0.082,0.093,0.091
0.136,0.257,0.101,0.219
0.136,0.295,0.136,0.259
0.235,0.329,0.253,0.303
0.348,0.264,0.331,0.222
0.231,0.257,0.195,0.259
0.149,0.264,0.117,0.269
0.109,0.271,0.101,0.253
0.195,0.267,0.167,0.229
0.181,0.253,0.156,0.232
0.258,0.199,0.206,0.215
0.090,0.161,0.066,0.172
0.054,0.154,0.054,0.165
0.036,0.151,0.035,0.152
0.045,0.236,0.039,0.189
0.045,0.192,0.074,0.205
0.127,0.103,0.175,0.027
0.131,0.164,0.066,0.091
0.072,0.202,0.062,0.182
0.104,0.178,0.105,0.168
0.072,0.281,0.019,0.276
0.095,0.116,0.121,0.071
0.140,0.178,0.074,0.185
0.163,0.202,0.187,0.222
0.054,0.175,0.078,0.131
0.149,0.058,0.140,0.064
0.054,0.089,0.000,0.084
0.072,0.099,0.144,0.027
0.127,0.171,0.140,0.162
0.127,0.212,0.128,0.165
0.145,0.260,0.125,0.246
0.222,0.178,0.261,0.185
0.281,0.253,0.206,0.182
0.299,0.284,0.241,0.256
0.262,0.312,0.296,0.320
0.271,0.291,0.276,0.286
0.104,0.137,0.136,0.141
0.063,0.192,0.113,0.189
0.140,0.229,0.101,0.182
0.145,0.301,0.156,0.276
0.258,0.318,0.311,0.316
0.199,0.363,0.296,0.327
0.421,0.445,0.397,0.431
0.154,0.264,0.195,0.269
0.149,0.116,0.086,0.114
0.000,0.086,0.105,0.067
0.081,0.161,0.109,0.111
0.077,0.233,0.128,0.172
0.131,0.199,0.167,0.178
0.054,0.202,0.093,0.178
0.163,0.305,0.198,0.263
0.217,0.318,0.257,0.316
0.154,0.199,0.171,0.175
0.199,0.277,0.218,0.279
0.131,0.298,0.198,0.236
0.145,0.219,0.222,0.202
0.249,0.277,0.284,0.215
0.195,0.301,0.261,0.316
0.267,0.154,0.230,0.125
0.181,0.182,0.226,0.182
0.145,0.247,0.210,0.259
0.199,0.318,0.245,0.296
0.357,0.568,0.510,0.535
0.471,0.233,0.346,0.232
0.457,0.195,0.374,0.182
0.339,0.281,0.366,0.259
0.330,0.291,0.374,0.266
0.299,0.301,0.327,0.306
0.253,0.312,0.307,0.253
0.181,0.295,0.245,0.306
0.149,0.240,0.210,0.239
0.208,0.274,0.280,0.249
0.181,0.274,0.233,0.202
0.136,0.243,0.202,0.256
0.281,0.312,0.300,0.323
0.339,0.267,0.272,0.246
0.294,0.342,0.331,0.259
0.348,0.199,0.307,0.168
0.276,0.452,0.416,0.394
